https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT
1628899200,2021-08-14 00:00:00,EOS/USDT,5.14561053,5.39437384,5.14561053,5.31374489,91716.52305825,17295.380908
1628812800,2021-08-13 00:00:00,EOS/USDT,4.65294367,5.15860493,4.60884762,5.15860493,293122.79239503,59370.74176767
1628726400,2021-08-12 00:00:00,EOS/USDT,4.7531144,5.084218,4.54445411,4.66112025,438343.42078402,91905.37580111
1628640000,2021-08-11 00:00:00,EOS/USDT,4.60062004,4.97192836,4.60062004,4.77965596,396940.26132825,83294.13571943
1628553600,2021-08-10 00:00:00,EOS/USDT,4.54800168,4.73,4.41137744,4.59249376,694554.85692614,151698.46353923
1628468304,2021-08-09 00:18:24,EOS/USDT,4.53125303,4.53125303,4.53125303,4.53125303,0.0,0.0
1628467200,2021-08-09 00:00:00,EOS/USDT,4.29699037,4.56,4.16430004,4.53125303,287939.75945072,64548.30029281
1628381861,2021-08-08 00:17:41,EOS/USDT,4.28477775,4.28477775,4.28477775,4.28477775,0.0,0.0
1628380800,2021-08-08 00:00:00,EOS/USDT,4.59790719,4.65770369,4.23362619,4.28477775,459519.44816173,102206.24314887
1628296166,2021-08-07 00:29:26,EOS/USDT,4.59660814,4.59660814,4.59660814,4.59660814,0.0,0.0
1628294400,2021-08-07 00:00:00,EOS/USDT,4.28581218,4.64076849,4.28581218,4.59660814,680518.36995692,149995.037189
1628209113,2021-08-06 00:18:33,EOS/USDT,4.31499377,4.31499377,4.31499377,4.31499377,0.0,0.0
1628208000,2021-08-06 00:00:00,EOS/USDT,4.1814164,4.34482758,4.10687697,4.31499377,95892.8142682,22557.66950259
1628122754,2021-08-05 00:19:14,EOS/USDT,4.18675962,4.18675962,4.18675962,4.18675962,0.0,0.0
1628121600,2021-08-05 00:00:00,EOS/USDT,4.11564566,4.21327814,3.94862155,4.18675962,95649.15466259,23290.89999689
1628037424,2021-08-04 00:37:04,EOS/USDT,4.13125004,4.13125004,4.13125004,4.13125004,0.0,0.0
1628035200,2021-08-04 00:00:00,EOS/USDT,4.00935309,4.15101304,3.92611035,4.13125004,60172.13815641,14807.95955574
1627949855,2021-08-03 00:17:35,EOS/USDT,4.01212402,4.01212402,4.01212402,4.01212402,0.0,0.0
1627948800,2021-08-03 00:00:00,EOS/USDT,4.02322201,4.08823314,3.87470946,4.01212402,92566.90174802,23221.38420876
1627863477,2021-08-02 00:17:57,EOS/USDT,4.02733237,4.02733237,4.02733237,4.02733237,0.0,0.0
1627862400,2021-08-02 00:00:00,EOS/USDT,3.93321412,4.15206469,3.89771093,4.02733237,134243.66361092,33027.5352409
1627777170,2021-08-01 00:19:30,EOS/USDT,3.94250464,3.94250464,3.94250464,3.94250464,0.0,0.0
1627776000,2021-08-01 00:00:00,EOS/USDT,4.06852451,4.22782083,3.86446097,3.94250464,290633.06405434,71257.13193227
1627690729,2021-07-31 00:18:49,EOS/USDT,4.0635277,4.0635277,4.0635277,4.0635277,0.0,0.0
1627689600,2021-07-31 00:00:00,EOS/USDT,4.07114926,4.19064792,4.00542807,4.0635277,325841.99734521,79695.19108902
1627604240,2021-07-30 00:17:20,EOS/USDT,4.05924814,4.05924814,4.05924814,4.05924814,0.0,0.0
1627603200,2021-07-30 00:00:00,EOS/USDT,3.96359429,4.06808026,3.79049499,4.05924814,104674.98684605,26642.5783665
1627517943,2021-07-29 00:19:03,EOS/USDT,3.95527184,3.95527184,3.95527184,3.95527184,0.0,0.0
1627516800,2021-07-29 00:00:00,EOS/USDT,3.91614165,3.984,3.81053985,3.95527184,259836.37029575,67059.29794355
1627432397,2021-07-28 00:33:17,EOS/USDT,3.90727917,3.90727917,3.90727917,3.90727917,0.0,0.0
1627430400,2021-07-28 00:00:00,EOS/USDT,3.75673507,4.01016655,3.68813465,3.90727917,388319.65351839,99347.31826821
1627345133,2021-07-27 00:18:53,EOS/USDT,3.75690833,3.75690833,3.75690833,3.75690833,0.0,0.0
1627344000,2021-07-27 00:00:00,EOS/USDT,3.67647438,3.78407762,3.60603609,3.75690833,215492.06587367,57862.78293554
1627258667,2021-07-26 00:17:47,EOS/USDT,3.69655204,3.69655204,3.69655204,3.69655204,0.0,0.0
1627257600,2021-07-26 00:00:00,EOS/USDT,3.66156277,3.98945183,3.63511703,3.69655204,366595.43971615,95331.95425479
1627172258,2021-07-25 00:17:38,EOS/USDT,3.66156277,3.66156277,3.66156277,3.66156277,0.0,0.0
1627171200,2021-07-25 00:00:00,EOS/USDT,3.66232034,3.6924,3.55264303,3.66156277,32246.12179617,8890.55156335
1627085817,2021-07-24 00:16:57,EOS/USDT,3.66778264,3.66778264,3.66778264,3.66778264,0.0,0.0
1627084800,2021-07-24 00:00:00,EOS/USDT,3.62,3.7342529,3.62,3.66778264,146611.40960066,40059.3577982
1626999297,2021-07-23 00:14:57,EOS/USDT,3.63511703,3.63511703,3.63511703,3.63511703,0.0,0.0
1626998400,2021-07-23 00:00:00,EOS/USDT,3.56027515,3.6518918,3.45889592,3.63511703,373113.37921831,104994.6948568
1626913055,2021-07-22 00:17:35,EOS/USDT,3.56355572,3.56355572,3.56355572,3.56355572,0.0,0.0
1626912000,2021-07-22 00:00:00,EOS/USDT,3.49873031,3.57683062,3.42915275,3.56355572,76990.05344412,22256.13258815
1626828585,2021-07-21 00:49:45,EOS/USDT,3.49662373,3.49662373,3.49662373,3.49662373,0.0,0.0
1626825600,2021-07-21 00:00:00,EOS/USDT,3.24849204,3.565,3.21324877,3.49662373,123861.42888389,35960.44397369
1626740055,2021-07-20 00:14:15,EOS/USDT,3.26501505,3.26501505,3.26501505,3.26501505,0.0,0.0
1626739200,2021-07-20 00:00:00,EOS/USDT,3.42611768,3.5416346,3.15997779,3.26501505,215482.62281566,64590.78044691
1626653655,2021-07-19 00:14:15,EOS/USDT,3.43637145,3.43637145,3.43637145,3.43637145,0.0,0.0
1626652800,2021-07-19 00:00:00,EOS/USDT,3.62676975,3.67875824,3.40555869,3.43637145,194274.79109423,55540.21189798
1626567401,2021-07-18 00:16:41,EOS/USDT,3.64089441,3.64089441,3.64089441,3.64089441,0.0,0.0
1626566400,2021-07-18 00:00:00,EOS/USDT,3.67875824,3.76969945,3.55762962,3.64089441,99930.11412796,27390.42809985
1626480998,2021-07-17 00:16:38,EOS/USDT,3.65057907,3.65057907,3.65057907,3.65057907,0.0,0.0
1626480000,2021-07-17 00:00:00,EOS/USDT,3.67875824,3.77460002,3.58704152,3.65057907,219205.19127451,59692.47330548
1626394640,2021-07-16 00:17:20,EOS/USDT,3.65001104,3.65001104,3.65001104,3.65001104,0.0,0.0
1626393600,2021-07-16 00:00:00,EOS/USDT,3.67103961,3.8268449,3.53929368,3.65001104,404477.04560651,109687.50424174
