https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LSK,Volume USDT
1628899200,2021-08-14 00:00:00,LSK/USDT,4.23119809,4.23800211,4.20989154,4.20989154,66.62420879,15.81016723
1628812800,2021-08-13 00:00:00,LSK/USDT,3.97579505,4.3,3.8957544,4.1900042,20488.01785157,5047.91408666
1628726400,2021-08-12 00:00:00,LSK/USDT,4.0788192,4.22240712,3.7,3.96254148,13428.81465279,3483.22966239
1628640000,2021-08-11 00:00:00,LSK/USDT,3.8984436,4.357862,3.8984436,4.0773252,12217.67829247,2971.17828564
1628553600,2021-08-10 00:00:00,LSK/USDT,3.928652,4.074,3.80265731,3.89029786,7727.99236376,1967.87093383
1628468304,2021-08-09 00:18:24,LSK/USDT,3.92478448,3.92478448,3.92478448,3.92478448,0.0,0.0
1628467200,2021-08-09 00:00:00,LSK/USDT,3.77890336,3.96182581,3.57329027,3.92478448,12747.39491827,3296.54124454
1628381861,2021-08-08 00:17:41,LSK/USDT,3.7671084,3.7671084,3.7671084,3.7671084,0.0,0.0
1628380800,2021-08-08 00:00:00,LSK/USDT,3.9723468,4.00616236,3.71568155,3.7671084,33906.1143528,8973.77112433
1628296166,2021-08-07 00:29:26,LSK/USDT,3.99674556,3.99674556,3.99674556,3.99674556,0.0,0.0
1628294400,2021-08-07 00:00:00,LSK/USDT,4.04035899,4.1764218,3.83395277,3.99674556,13244.37500244,3238.04463169
1628209113,2021-08-06 00:18:33,LSK/USDT,4.03972004,4.03972004,4.03972004,4.03972004,0.0,0.0
1628208000,2021-08-06 00:00:00,LSK/USDT,3.5691196,4.1567672,3.5691196,4.03972004,49743.43530424,13365.03109434
1628122754,2021-08-05 00:19:14,LSK/USDT,3.5529312,3.5529312,3.5529312,3.5529312,0.0,0.0
1628121600,2021-08-05 00:00:00,LSK/USDT,3.36830114,3.62327149,3.36709792,3.5529312,8856.392775,2557.74127667
1628037424,2021-08-04 00:37:04,LSK/USDT,3.35173765,3.35173765,3.35173765,3.35173765,0.0,0.0
1628035200,2021-08-04 00:00:00,LSK/USDT,3.18706162,3.36162598,3.01682487,3.35173765,9108.03854903,2812.3442206
1627949855,2021-08-03 00:17:35,LSK/USDT,3.18706162,3.18706162,3.18706162,3.18706162,0.0,0.0
1627948800,2021-08-03 00:00:00,LSK/USDT,3.37288005,3.37288005,3.119,3.18706162,3483.67808346,1068.81510961
1627863477,2021-08-02 00:17:57,LSK/USDT,3.45356087,3.45356087,3.45356087,3.45356087,0.0,0.0
1627862400,2021-08-02 00:00:00,LSK/USDT,3.42830276,3.4911665,3.25466347,3.45356087,11562.41770698,3454.11214679
1627777170,2021-08-01 00:19:30,LSK/USDT,3.41378557,3.41378557,3.41378557,3.41378557,0.0,0.0
1627776000,2021-08-01 00:00:00,LSK/USDT,3.17863089,4.43833701,3.17863089,3.41378557,61945.71306208,15619.01101703
1627690729,2021-07-31 00:18:49,LSK/USDT,3.1944708,3.1944708,3.1944708,3.1944708,0.0,0.0
1627689600,2021-07-31 00:00:00,LSK/USDT,2.94129761,3.26060739,2.92565535,3.1944708,8447.36510823,2708.86288997
1627604240,2021-07-30 00:17:20,LSK/USDT,2.97384648,2.97384648,2.97384648,2.97384648,0.0,0.0
1627603200,2021-07-30 00:00:00,LSK/USDT,2.90095257,3.1184569,2.729,2.97384648,14775.12151356,4965.69563307
1627517943,2021-07-29 00:19:03,LSK/USDT,2.9068914,2.9068914,2.9068914,2.9068914,0.0,0.0
1627516800,2021-07-29 00:00:00,LSK/USDT,2.67013844,2.9068914,2.60557763,2.9068914,42284.37632339,15383.89767185
1627432397,2021-07-28 00:33:17,LSK/USDT,2.6703912,2.6703912,2.6703912,2.6703912,0.0,0.0
1627430400,2021-07-28 00:00:00,LSK/USDT,2.64802457,2.70039138,2.58461,2.6703912,6463.80937735,2449.06002361
1627345133,2021-07-27 00:18:53,LSK/USDT,2.67732803,2.67732803,2.67732803,2.67732803,0.0,0.0
1627344000,2021-07-27 00:00:00,LSK/USDT,2.611,2.7652702,2.48227581,2.67732803,5395.462245,2054.21897728
1627258667,2021-07-26 00:17:47,LSK/USDT,2.58413142,2.58413142,2.58413142,2.58413142,0.0,0.0
1627257600,2021-07-26 00:00:00,LSK/USDT,2.53010536,2.8,2.5,2.58413142,17416.93678423,6486.65502592
1627172258,2021-07-25 00:17:38,LSK/USDT,2.51403927,2.51403927,2.51403927,2.51403927,0.0,0.0
1627171200,2021-07-25 00:00:00,LSK/USDT,2.50241326,2.55063083,2.45000468,2.51403927,2627.57960976,1060.09169073
1627085817,2021-07-24 00:16:57,LSK/USDT,2.53307477,2.53307477,2.53307477,2.53307477,0.0,0.0
1627084800,2021-07-24 00:00:00,LSK/USDT,2.388,2.56392624,2.36784916,2.53307477,7403.60298823,3008.48296696
1626999297,2021-07-23 00:14:57,LSK/USDT,2.37173756,2.37173756,2.37173756,2.37173756,0.0,0.0
1626998400,2021-07-23 00:00:00,LSK/USDT,2.2968,2.37173756,2.27339553,2.37173756,4727.54633269,2053.95078023
1626913055,2021-07-22 00:17:35,LSK/USDT,2.29686781,2.29686781,2.29686781,2.29686781,0.0,0.0
1626912000,2021-07-22 00:00:00,LSK/USDT,2.27178486,2.32470811,2.21087834,2.29686781,1181.53820227,514.98353353
1626828585,2021-07-21 00:49:45,LSK/USDT,2.26705377,2.26705377,2.26705377,2.26705377,0.0,0.0
1626825600,2021-07-21 00:00:00,LSK/USDT,2.14944498,2.29452111,2.05510947,2.26705377,3034.05539563,1362.64806734
1626740055,2021-07-20 00:14:15,LSK/USDT,2.13339636,2.13339636,2.13339636,2.13339636,0.0,0.0
1626739200,2021-07-20 00:00:00,LSK/USDT,2.2840864,2.2840864,2.02272158,2.13339636,13144.66849468,6204.36309879
1626653655,2021-07-19 00:14:15,LSK/USDT,2.29298278,2.29298278,2.29298278,2.29298278,0.0,0.0
1626652800,2021-07-19 00:00:00,LSK/USDT,2.80719269,2.8213362,2.26613857,2.29298278,11476.32522762,4452.24587309
1626567401,2021-07-18 00:16:41,LSK/USDT,2.78194122,2.78194122,2.78194122,2.78194122,0.0,0.0
1626566400,2021-07-18 00:00:00,LSK/USDT,2.33147047,2.88392607,2.33147047,2.78194122,83231.44721563,30347.5571006
1626480998,2021-07-17 00:16:38,LSK/USDT,2.3009627,2.3009627,2.3009627,2.3009627,0.0,0.0
1626480000,2021-07-17 00:00:00,LSK/USDT,2.22180995,2.388,2.22180995,2.3009627,718.38254532,309.11853704
1626394640,2021-07-16 00:17:20,LSK/USDT,2.234,2.234,2.234,2.234,0.0,0.0
