https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1628899200,2021-08-14 00:00:00,LTC/USDT,183.35962988,184.98896057,182.82021583,184.3040086,57628.98865308,313.04236499
1628812800,2021-08-13 00:00:00,LTC/USDT,165.38123904,184.46306838,164.08184168,183.29913424,1379206.52918677,7799.48463658
1628726400,2021-08-12 00:00:00,LTC/USDT,170.5,179.63119249,160.75860001,165.28660245,1167795.3568945,6944.57589857
1628640000,2021-08-11 00:00:00,LTC/USDT,165.53299239,175.96698161,164.31606795,170.88426402,2026505.90260869,11828.33865952
1628553600,2021-08-10 00:00:00,LTC/USDT,166.19588224,168.29819999,158.8797904,165.37555877,742640.47281782,4530.02399222
1628468304,2021-08-09 00:18:24,LTC/USDT,166.33617,166.33617,166.33617,166.33617,0.0,0.0
1628467200,2021-08-09 00:00:00,LTC/USDT,149.87835308,170.64831092,145.28730845,166.33617,1025666.5796711,6355.04991816
1628381861,2021-08-08 00:17:41,LTC/USDT,149.72895849,149.72895849,149.72895849,149.72895849,0.0,0.0
1628380800,2021-08-08 00:00:00,LTC/USDT,156.01191369,157.426392,147.25208678,149.72895849,1139116.63011317,7476.63254177
1628296166,2021-08-07 00:29:26,LTC/USDT,156.04357368,156.04357368,156.04357368,156.04357368,0.0,0.0
1628294400,2021-08-07 00:00:00,LTC/USDT,147.92050494,156.34286825,147.15473211,156.04357368,875996.34675674,5740.60585264
1628209113,2021-08-06 00:18:33,LTC/USDT,147.67780635,147.67780635,147.67780635,147.67780635,0.0,0.0
1628208000,2021-08-06 00:00:00,LTC/USDT,143.47636015,150.72896803,141.81957103,147.67780635,285608.7338877,1940.652975
1628122754,2021-08-05 00:19:14,LTC/USDT,143.48594844,143.48594844,143.48594844,143.48594844,0.0,0.0
1628121600,2021-08-05 00:00:00,LTC/USDT,142.64633261,145.1381651,136.16710623,143.48594844,356165.93726966,2522.03714776
1628037424,2021-08-04 00:37:04,LTC/USDT,142.48972283,142.48972283,142.48972283,142.48972283,0.0,0.0
1628035200,2021-08-04 00:00:00,LTC/USDT,138.46677385,144.40305881,135.62961463,142.48972283,420741.02111256,3015.73762144
1627949855,2021-08-03 00:17:35,LTC/USDT,138.46677385,138.46677385,138.46677385,138.46677385,0.0,0.0
1627948800,2021-08-03 00:00:00,LTC/USDT,141.34862768,143.16096615,135.70574016,138.46677385,359272.01944683,2599.8194642
1627863477,2021-08-02 00:17:57,LTC/USDT,141.25900431,141.25900431,141.25900431,141.25900431,0.0,0.0
1627862400,2021-08-02 00:00:00,LTC/USDT,140.13155838,145.76549698,138.98088,141.25900431,385114.31740871,2714.46073412
1627777170,2021-08-01 00:19:30,LTC/USDT,140.30248309,140.30248309,140.30248309,140.30248309,0.0,0.0
1627776000,2021-08-01 00:00:00,LTC/USDT,144.35387584,149.60905261,138.16479825,140.30248309,926608.60303299,6448.96224654
1627690729,2021-07-31 00:18:49,LTC/USDT,144.12285072,144.12285072,144.12285072,144.12285072,0.0,0.0
1627689600,2021-07-31 00:00:00,LTC/USDT,145.56122381,146.5018771,141.77330001,144.12285072,278897.24303825,1933.1761906
1627604240,2021-07-30 00:17:20,LTC/USDT,145.56355118,145.56355118,145.56355118,145.56355118,0.0,0.0
1627603200,2021-07-30 00:00:00,LTC/USDT,141.63380523,145.78908,135.92049943,145.56355118,806391.43999211,5696.95176115
1627517943,2021-07-29 00:19:03,LTC/USDT,141.4037,141.4037,141.4037,141.4037,0.0,0.0
1627516800,2021-07-29 00:00:00,LTC/USDT,140.36839184,142.99868867,136.91122632,141.4037,684033.92552317,4913.726694
1627432397,2021-07-28 00:33:17,LTC/USDT,140.33697781,140.33697781,140.33697781,140.33697781,0.0,0.0
1627430400,2021-07-28 00:00:00,LTC/USDT,134.76105729,141.96177578,132.55363259,140.33697781,903876.61473657,6593.92484486
1627345133,2021-07-27 00:18:53,LTC/USDT,134.76078489,134.76078489,134.76078489,134.76078489,0.0,0.0
1627344000,2021-07-27 00:00:00,LTC/USDT,131.1557523,135.05267844,127.49530612,134.76078489,587918.72539453,4488.97963818
1627258667,2021-07-26 00:17:47,LTC/USDT,131.11704372,131.11704372,131.11704372,131.11704372,0.0,0.0
1627257600,2021-07-26 00:00:00,LTC/USDT,127.6412637,140.38921647,127.00917452,131.11704372,1585975.44810446,11690.53815406
1627172258,2021-07-25 00:17:38,LTC/USDT,127.57850391,127.57850391,127.57850391,127.57850391,0.0,0.0
1627171200,2021-07-25 00:00:00,LTC/USDT,126.00273477,127.95006624,123.64597279,127.57850391,176459.60549272,1406.13169554
1627085817,2021-07-24 00:16:57,LTC/USDT,126.00351775,126.00351775,126.00351775,126.00351775,0.0,0.0
1627084800,2021-07-24 00:00:00,LTC/USDT,124.49855263,127.65969808,123.36682886,126.00351775,440512.78838628,3515.62058629
1626999297,2021-07-23 00:14:57,LTC/USDT,124.28132589,124.28132589,124.28132589,124.28132589,0.0,0.0
1626998400,2021-07-23 00:00:00,LTC/USDT,120.77382434,125.0,117.11732442,124.28132589,503644.31895733,4120.81182771
1626913055,2021-07-22 00:17:35,LTC/USDT,120.69480804,120.69480804,120.69480804,120.69480804,0.0,0.0
1626912000,2021-07-22 00:00:00,LTC/USDT,117.67221,121.93184345,115.6356,120.69480804,395337.46462301,3330.344154
1626828585,2021-07-21 00:49:45,LTC/USDT,117.66820148,117.66820148,117.66820148,117.66820148,0.0,0.0
